cod_condicao_pagamento;cod_pessoa_cliente;cod_pessoa_representante;dta_emissao;seq_pre_venda;val_total_pre_venda
2;1;22;01/06/2017 00:00;44244;36100
2;1;22;07/06/2017 00:00;44781;2249,4
2;1;22;08/06/2017 00:00;44845;113089,05
2;1;22;10/06/2017 00:00;45373;337,4
2;1;22;12/06/2017 00:00;45255;231,92
2;1;22;13/06/2017 00:00;45378;94901,76
2;1;22;14/06/2017 00:00;45625;116092,08
2;1;22;14/06/2017 00:00;45803;138,6
2;1;22;16/06/2017 00:00;45805;90840
2;1;22;24/06/2017 00:00;46962;92
2;1;22;28/06/2017 00:00;47365;12
2;1;22;29/06/2017 00:00;47383;27858
2;1;22;30/06/2017 00:00;47693;86,65
2;1;22;30/06/2017 00:00;47701;72576
2;1;22;08/07/2017 00:00;48546;121390,56
2;1;22;08/07/2017 00:00;48553;27801,9
2;1;22;11/07/2017 00:00;48695;4200
2;1;22;11/07/2017 00:00;48696;9300
2;1;22;13/07/2017 00:00;49048;26988
2;1;22;14/07/2017 00:00;49433;149
2;1;22;15/07/2017 00:00;49485;33460,5
2;1;22;21/07/2017 00:00;50240;1020,6
2;1;22;22/07/2017 00:00;50362;120,5
2;1;22;26/07/2017 00:00;50926;60314,37
2;1;22;03/08/2017 00:00;51998;2590
2;1;22;04/08/2017 00:00;51997;2590
2;1;22;07/08/2017 00:00;52347;243,88
2;1;22;08/08/2017 00:00;52476;88,52
2;1;22;09/08/2017 00:00;52576;138,08
2;1;22;10/08/2017 00:00;52711;86676,48
2;1;22;10/08/2017 00:00;52842;73032,96
2;1;22;11/08/2017 00:00;53055;73032,96
2;1;22;16/08/2017 00:00;53289;5524,32
2;1;22;17/08/2017 00:00;53450;154440
2;1;685;02/02/2017 00:00;35349;1759,8
2;1;685;13/02/2017 00:00;36251;9250,56
2;1;685;17/02/2017 00:00;36696;55
2;1;685;17/02/2017 00:00;36692;157,9
2;1;685;17/02/2017 00:00;36699;189
2;1;685;22/02/2017 00:00;37054;44
2;1;685;22/02/2017 00:00;37058;469
2;1;685;22/02/2017 00:00;37060;460
2;1;685;23/02/2017 00:00;37090;460
2;1;685;25/02/2017 00:00;37348;500
2;1;685;21/03/2017 00:00;39011;87300
2;1;685;29/03/2017 00:00;39533;46,8
2;1;685;10/04/2017 00:00;40284;740,04
2;1;685;19/04/2017 00:00;41087;58015,95
2;1;685;08/05/2017 00:00;42391;17280
2;1;685;12/05/2017 00:00;42837;44060,9
2;1;685;12/05/2017 00:00;42851;28500
2;1;685;15/05/2017 00:00;42939;45162,44
2;1;685;15/05/2017 00:00;42943;27783
2;1;685;15/05/2017 00:00;42986;54445,35
2;1;685;15/05/2017 00:00;42988;58881,75
2;1;685;17/05/2017 00:00;43106;42159
2;1;685;19/05/2017 00:00;43306;28500
2;1;685;06/06/2017 00:00;44641;518,76
2;1;685;06/06/2017 00:00;44645;179
2;1;685;07/06/2017 00:00;44712;110,87
2;1;685;07/06/2017 00:00;44721;136
2;1;685;07/06/2017 00:00;44722;54
2;1;685;07/06/2017 00:00;44728;105
2;1;685;07/06/2017 00:00;44731;105
2;1;685;07/06/2017 00:00;44735;315
2;1;685;07/06/2017 00:00;44736;221,61
2;1;685;07/06/2017 00:00;44737;365,5
2;1;685;07/06/2017 00:00;44738;278
2;1;685;07/06/2017 00:00;44749;350,4
2;1;685;07/06/2017 00:00;44751;89
2;1;685;07/06/2017 00:00;44752;210
2;1;685;07/06/2017 00:00;44754;59
2;1;685;07/06/2017 00:00;44755;26
2;1;685;07/06/2017 00:00;44756;278
2;1;685;07/06/2017 00:00;44757;71
2;1;685;07/06/2017 00:00;44758;49
2;1;685;07/06/2017 00:00;44761;58,14
2;1;685;07/06/2017 00:00;44764;110,64
2;1;685;07/06/2017 00:00;44765;29
2;1;685;07/06/2017 00:00;44767;41,5
2;1;685;07/06/2017 00:00;44770;105
2;1;685;07/06/2017 00:00;44771;23,88
2;1;685;07/06/2017 00:00;44772;22
2;1;685;07/06/2017 00:00;44773;177
2;1;685;07/06/2017 00:00;44774;136,8
2;1;685;07/06/2017 00:00;44775;57,5
2;1;685;07/06/2017 00:00;44776;59
2;1;685;08/06/2017 00:00;44814;68
2;1;685;08/06/2017 00:00;44816;93,45
2;1;685;08/06/2017 00:00;44819;105
2;1;685;08/06/2017 00:00;44821;105
2;1;685;08/06/2017 00:00;44824;29
2;1;685;08/06/2017 00:00;44826;162,52
2;1;685;08/06/2017 00:00;44828;471,99
2;1;685;08/06/2017 00:00;44830;22,9
2;1;685;08/06/2017 00:00;44834;135
2;1;685;08/06/2017 00:00;44836;16,2
2;1;685;08/06/2017 00:00;44840;22
2;1;685;08/06/2017 00:00;44841;211,07
2;1;685;08/06/2017 00:00;44842;61
2;1;685;08/06/2017 00:00;44843;41
2;1;685;08/06/2017 00:00;44844;74,5
2;1;685;08/06/2017 00:00;44846;176,89
2;1;685;08/06/2017 00:00;44855;385,44
2;1;685;08/06/2017 00:00;44860;144
2;1;685;08/06/2017 00:00;44866;121,68
2;1;685;08/06/2017 00:00;44892;56
2;1;685;08/06/2017 00:00;44894;79,5
2;1;685;08/06/2017 00:00;44907;142
2;1;685;08/06/2017 00:00;44910;71,64
2;1;685;08/06/2017 00:00;44913;54
2;1;685;08/06/2017 00:00;44917;416,96
2;1;685;08/06/2017 00:00;44948;105
2;1;685;08/06/2017 00:00;44954;123,03
2;1;685;08/06/2017 00:00;44957;31
2;1;685;08/06/2017 00:00;44959;38,87
2;1;685;08/06/2017 00:00;44964;132,7
2;1;685;08/06/2017 00:00;44969;342
2;1;685;08/06/2017 00:00;44970;105
2;1;685;09/06/2017 00:00;44979;295
2;1;685;09/06/2017 00:00;44980;433
2;1;685;09/06/2017 00:00;44982;22
2;1;685;09/06/2017 00:00;44983;111,24
2;1;685;09/06/2017 00:00;44985;5
2;1;685;09/06/2017 00:00;44994;131,97
2;1;685;09/06/2017 00:00;44996;105
2;1;685;09/06/2017 00:00;45000;558,89
2;1;685;09/06/2017 00:00;45015;81
2;1;685;09/06/2017 00:00;45022;182,87
2;1;685;09/06/2017 00:00;45032;295
2;1;685;09/06/2017 00:00;45033;147,6
2;1;685;09/06/2017 00:00;45036;413
2;1;685;09/06/2017 00:00;45038;115
2;1;685;09/06/2017 00:00;45039;138,5
2;1;685;09/06/2017 00:00;45040;17,8
2;1;685;09/06/2017 00:00;45041;67,56
2;1;685;09/06/2017 00:00;45042;89,3
2;1;685;09/06/2017 00:00;45043;315
2;1;685;09/06/2017 00:00;45044;26,8
2;1;685;09/06/2017 00:00;45046;65,87
2;1;685;09/06/2017 00:00;45048;78
2;1;685;09/06/2017 00:00;45049;105
2;1;685;09/06/2017 00:00;45050;42
2;1;685;09/06/2017 00:00;45051;71,64
2;1;685;09/06/2017 00:00;45053;108,2
2;1;685;09/06/2017 00:00;45081;74,3
2;1;685;09/06/2017 00:00;45083;110,5
2;1;685;09/06/2017 00:00;45086;236
2;1;685;09/06/2017 00:00;45087;10
2;1;685;09/06/2017 00:00;45089;50
2;1;685;09/06/2017 00:00;45091;35
2;1;685;09/06/2017 00:00;45092;210
2;1;685;09/06/2017 00:00;45093;163,61
2;1;685;09/06/2017 00:00;45095;144
2;1;685;09/06/2017 00:00;45097;51
2;1;685;09/06/2017 00:00;45104;30
2;1;685;09/06/2017 00:00;45109;101
2;1;685;09/06/2017 00:00;45114;781
2;1;685;09/06/2017 00:00;45117;143,61
2;1;685;09/06/2017 00:00;45128;51,15
2;1;685;09/06/2017 00:00;45129;77,74
2;1;685;09/06/2017 00:00;45138;22
2;1;685;09/06/2017 00:00;45140;106,87
2;1;685;09/06/2017 00:00;45142;83,4
2;1;685;09/06/2017 00:00;45144;38,87
2;1;685;09/06/2017 00:00;45149;286,44
2;1;685;09/06/2017 00:00;45150;295
2;1;685;09/06/2017 00:00;45151;81
2;1;685;09/06/2017 00:00;45153;101,62
2;1;685;09/06/2017 00:00;45155;116,88
2;1;685;09/06/2017 00:00;45158;188
2;1;685;09/06/2017 00:00;45159;335,16
2;1;685;09/06/2017 00:00;45162;351,36
2;1;685;09/06/2017 00:00;45163;26,5
2;1;685;09/06/2017 00:00;45166;202
2;1;685;09/06/2017 00:00;45168;87,8
2;1;685;09/06/2017 00:00;45169;58,14
2;1;685;09/06/2017 00:00;45170;105
2;1;685;09/06/2017 00:00;45171;498,7
2;1;685;09/06/2017 00:00;45172;70
2;1;685;09/06/2017 00:00;45173;284,4
2;1;685;09/06/2017 00:00;45174;68
2;1;685;09/06/2017 00:00;45175;105
2;1;685;09/06/2017 00:00;45176;236
2;1;685;09/06/2017 00:00;45177;105
2;1;685;09/06/2017 00:00;45178;71,6
2;1;685;09/06/2017 00:00;45179;107,6
2;1;685;09/06/2017 00:00;45180;73,5
2;1;685;09/06/2017 00:00;45181;51,5
2;1;685;09/06/2017 00:00;45182;47,76
2;1;685;09/06/2017 00:00;45183;49
2;1;685;09/06/2017 00:00;45184;34
2;1;685;09/06/2017 00:00;45185;22
2;1;685;09/06/2017 00:00;45186;68
2;1;685;09/06/2017 00:00;45187;43,4
2;1;685;09/06/2017 00:00;45188;351,97
2;1;685;10/06/2017 00:00;45368;278
2;1;685;10/06/2017 00:00;45369;22
2;1;685;10/06/2017 00:00;45370;62,3
2;1;685;10/06/2017 00:00;45371;57
2;1;685;10/06/2017 00:00;45372;74,5
2;1;685;10/06/2017 00:00;45384;453,65
2;1;685;10/06/2017 00:00;45386;47,76
2;1;685;10/06/2017 00:00;45387;304,76
2;1;685;10/06/2017 00:00;45388;210
2;1;685;10/06/2017 00:00;45389;441,5
2;1;685;10/06/2017 00:00;45392;231,5
2;1;685;10/06/2017 00:00;45394;210
2;1;685;10/06/2017 00:00;45396;68
2;1;685;10/06/2017 00:00;45397;248,87
2;1;685;10/06/2017 00:00;45398;266,61
2;1;685;10/06/2017 00:00;45399;22
2;1;685;10/06/2017 00:00;45400;278
2;1;685;10/06/2017 00:00;45402;210
2;1;685;10/06/2017 00:00;45406;44
2;1;685;10/06/2017 00:00;45408;17
2;1;685;10/06/2017 00:00;45411;167,3
2;1;685;10/06/2017 00:00;45413;68
2;1;685;10/06/2017 00:00;45415;22
2;1;685;10/06/2017 00:00;45417;23,5
2;1;685;10/06/2017 00:00;45418;210
2;1;685;10/06/2017 00:00;45421;93,12
2;1;685;10/06/2017 00:00;45423;254,99
2;1;685;10/06/2017 00:00;45425;210
2;1;685;10/06/2017 00:00;45433;25
2;1;685;10/06/2017 00:00;45434;142,8
2;1;685;10/06/2017 00:00;45453;100
2;1;685;10/06/2017 00:00;45454;53,7
2;1;685;10/06/2017 00:00;45456;136
2;1;685;10/06/2017 00:00;45458;101,5
2;1;685;10/06/2017 00:00;45459;105
2;1;685;10/06/2017 00:00;45460;153,8
2;1;685;10/06/2017 00:00;45461;210
2;1;685;10/06/2017 00:00;45462;462,76
2;1;685;10/06/2017 00:00;45463;860
2;1;685;10/06/2017 00:00;45464;100
2;1;685;10/06/2017 00:00;45465;407,3
2;1;685;10/06/2017 00:00;45467;515
2;1;685;10/06/2017 00:00;45470;38,87
2;1;685;10/06/2017 00:00;45471;81,12
2;1;685;10/06/2017 00:00;45472;22
2;1;685;10/06/2017 00:00;45491;191,52
2;1;685;10/06/2017 00:00;45492;105
2;1;685;10/06/2017 00:00;45495;105,5
2;1;685;10/06/2017 00:00;45496;27
2;1;685;10/06/2017 00:00;45498;515
2;1;685;10/06/2017 00:00;45501;259,76
2;1;685;10/06/2017 00:00;45503;228
2;1;685;10/06/2017 00:00;45505;21,9
2;1;685;10/06/2017 00:00;45508;58,15
2;1;685;10/06/2017 00:00;45517;59,5
2;1;685;10/06/2017 00:00;45519;125,5
2;1;685;10/06/2017 00:00;45521;73
2;1;685;10/06/2017 00:00;45524;210
2;1;685;10/06/2017 00:00;45525;22
2;1;685;10/06/2017 00:00;45530;173,85
2;1;685;10/06/2017 00:00;45533;93,45
2;1;685;12/06/2017 00:00;45544;100,15
2;1;685;12/06/2017 00:00;45547;77
2;1;685;12/06/2017 00:00;45553;151,8
2;1;685;12/06/2017 00:00;45555;256,8
2;1;685;12/06/2017 00:00;45558;53
2;1;685;12/06/2017 00:00;45561;49
2;1;685;12/06/2017 00:00;45562;173
2;1;685;12/06/2017 00:00;45564;55
2;1;685;12/06/2017 00:00;45567;153,8
2;1;685;12/06/2017 00:00;45571;58,4
2;1;685;12/06/2017 00:00;45585;44
2;1;685;12/06/2017 00:00;45588;105
2;1;685;12/06/2017 00:00;45593;31
2;1;685;12/06/2017 00:00;45595;580,52
2;1;685;12/06/2017 00:00;45599;49
2;1;685;12/06/2017 00:00;45601;210
2;1;685;12/06/2017 00:00;45602;31,15
2;1;685;12/06/2017 00:00;45609;138,2
2;1;685;12/06/2017 00:00;45614;65,87
2;1;685;12/06/2017 00:00;45615;30
2;1;685;12/06/2017 00:00;45616;17
2;1;685;12/06/2017 00:00;45617;86,85
2;1;685;12/06/2017 00:00;45619;210
2;1;685;12/06/2017 00:00;45620;86,18
2;1;685;12/06/2017 00:00;45621;427,2
2;1;685;13/06/2017 00:00;45385;18,1
2;1;685;13/06/2017 00:00;45390;105
2;1;685;13/06/2017 00:00;45457;406
2;1;685;13/06/2017 00:00;45511;1195,56
2;1;685;13/06/2017 00:00;45638;88,65
2;1;685;13/06/2017 00:00;45643;115
2;1;685;13/06/2017 00:00;45659;79,5
2;1;685;13/06/2017 00:00;45661;27
2;1;685;13/06/2017 00:00;45663;357,16
2;1;685;13/06/2017 00:00;45667;264,73
2;1;685;13/06/2017 00:00;45668;86,5
2;1;685;13/06/2017 00:00;45671;210
2;1;685;13/06/2017 00:00;45672;115
2;1;685;13/06/2017 00:00;45673;54
2;1;685;13/06/2017 00:00;45674;142,8
2;1;685;13/06/2017 00:00;45675;258,6
2;1;685;13/06/2017 00:00;45676;159,38
2;1;685;13/06/2017 00:00;45677;9,15
2;1;685;13/06/2017 00:00;45678;148,12
2;1;685;13/06/2017 00:00;45679;11,5
2;1;685;13/06/2017 00:00;45680;464
2;1;685;13/06/2017 00:00;45681;21,6
2;1;685;13/06/2017 00:00;45682;455,1
2;1;685;13/06/2017 00:00;45683;49
2;1;685;13/06/2017 00:00;45684;1212
2;1;685;13/06/2017 00:00;45685;104,87
2;1;685;13/06/2017 00:00;45686;126
2;1;685;13/06/2017 00:00;45687;62,3
2;1;685;13/06/2017 00:00;45689;30,6
2;1;685;13/06/2017 00:00;45696;29
2;1;685;13/06/2017 00:00;45699;105
2;1;685;13/06/2017 00:00;45700;60,87
2;1;685;13/06/2017 00:00;45701;210
2;1;685;13/06/2017 00:00;45703;10
2;1;685;13/06/2017 00:00;45705;108
2;1;685;13/06/2017 00:00;45709;10
2;1;685;13/06/2017 00:00;45717;22
2;1;685;13/06/2017 00:00;45722;114
2;1;685;13/06/2017 00:00;45725;119,36
2;1;685;13/06/2017 00:00;45727;69,48
2;1;685;13/06/2017 00:00;45728;114
2;1;685;13/06/2017 00:00;45736;176,64
2;1;685;13/06/2017 00:00;45744;46,18
2;1;685;13/06/2017 00:00;45747;25
2;1;685;14/06/2017 00:00;45669;93,45
2;1;685;14/06/2017 00:00;45670;210
2;1;685;14/06/2017 00:00;45688;81
2;1;685;14/06/2017 00:00;45711;57,5
2;1;685;14/06/2017 00:00;45726;19,8
2;1;685;14/06/2017 00:00;45750;51
2;1;685;14/06/2017 00:00;45751;150,55
2;1;685;14/06/2017 00:00;45752;105
2;1;685;14/06/2017 00:00;45754;27
2;1;685;14/06/2017 00:00;45755;62,3
2;1;685;14/06/2017 00:00;45757;90
2;1;685;14/06/2017 00:00;45771;162,49
2;1;685;14/06/2017 00:00;45773;27
2;1;685;14/06/2017 00:00;45775;242,11
2;1;685;14/06/2017 00:00;45779;210
2;1;685;14/06/2017 00:00;45786;742,58
2;1;685;14/06/2017 00:00;45790;19,8
2;1;685;14/06/2017 00:00;45791;29
2;1;685;14/06/2017 00:00;45792;423,6
2;1;685;14/06/2017 00:00;45793;73
2;1;685;14/06/2017 00:00;45794;330,5
2;1;685;14/06/2017 00:00;45795;12,9
2;1;685;14/06/2017 00:00;45796;580
2;1;685;14/06/2017 00:00;45797;288,52
2;1;685;14/06/2017 00:00;45798;86,63
2;1;685;14/06/2017 00:00;45799;29
2;1;685;14/06/2017 00:00;45800;10,5
2;1;685;14/06/2017 00:00;45801;160,5
2;1;685;14/06/2017 00:00;45802;37,5
2;1;685;14/06/2017 00:00;45858;210,24
2;1;685;14/06/2017 00:00;45860;80,74
2;1;685;14/06/2017 00:00;45877;159,64
2;1;685;14/06/2017 00:00;45881;182,74
2;1;685;14/06/2017 00:00;45887;98,87
2;1;685;14/06/2017 00:00;45888;419,5
2;1;685;14/06/2017 00:00;45889;433
2;1;685;14/06/2017 00:00;45890;119,4
2;1;685;14/06/2017 00:00;45891;232
2;1;685;14/06/2017 00:00;45892;264,38
2;1;685;14/06/2017 00:00;45894;23,88
2;1;685;14/06/2017 00:00;45899;292,52
2;1;685;14/06/2017 00:00;45900;177,3
2;1;685;14/06/2017 00:00;45901;54
2;1;685;14/06/2017 00:00;45903;335,1
2;1;685;14/06/2017 00:00;45940;618
2;1;685;14/06/2017 00:00;45943;105
2;1;685;14/06/2017 00:00;45949;294,77
2;1;685;14/06/2017 00:00;45955;75,48
2;1;685;14/06/2017 00:00;45962;324,6
2;1;685;14/06/2017 00:00;45963;51,77
2;1;685;14/06/2017 00:00;45966;68
2;1;685;14/06/2017 00:00;45967;59,4
2;1;685;14/06/2017 00:00;45969;217,12
2;1;685;14/06/2017 00:00;45973;99,15
2;1;685;14/06/2017 00:00;45975;27
2;1;685;14/06/2017 00:00;45976;210
2;1;685;14/06/2017 00:00;45990;615,92
2;1;685;14/06/2017 00:00;45992;289,87
2;1;685;14/06/2017 00:00;45994;173
2;1;685;14/06/2017 00:00;45997;28,5
2;1;685;14/06/2017 00:00;46002;63,7
2;1;685;14/06/2017 00:00;46006;832,8
2;1;685;14/06/2017 00:00;46007;10
2;1;685;14/06/2017 00:00;46008;176,05
2;1;685;14/06/2017 00:00;46010;103
2;1;685;14/06/2017 00:00;46011;47,6
2;1;685;14/06/2017 00:00;46012;210
2;1;685;14/06/2017 00:00;46013;22
2;1;685;14/06/2017 00:00;46014;100
2;1;685;14/06/2017 00:00;46015;77,5
2;1;685;14/06/2017 00:00;46016;58,15
2;1;685;16/06/2017 00:00;46017;31,15
2;1;685;16/06/2017 00:00;46018;211,62
2;1;685;16/06/2017 00:00;46019;27
2;1;685;16/06/2017 00:00;46020;151,87
2;1;685;16/06/2017 00:00;46021;29
2;1;685;16/06/2017 00:00;46022;101,62
2;1;685;16/06/2017 00:00;46023;237
2;1;685;16/06/2017 00:00;46024;134,15
2;1;685;16/06/2017 00:00;46025;66
2;1;685;16/06/2017 00:00;46026;63
2;1;685;16/06/2017 00:00;46027;66
2;1;685;16/06/2017 00:00;46028;27
2;1;685;16/06/2017 00:00;46029;74
2;1;685;16/06/2017 00:00;46046;744
2;1;685;16/06/2017 00:00;46050;62,3
2;1;685;16/06/2017 00:00;46060;145,78
2;1;685;16/06/2017 00:00;46061;91,5
2;1;685;16/06/2017 00:00;46062;60
2;1;685;16/06/2017 00:00;46064;470,41
2;1;685;16/06/2017 00:00;46065;315
2;1;685;16/06/2017 00:00;46066;54
2;1;685;16/06/2017 00:00;46067;194,35
2;1;685;16/06/2017 00:00;46068;233,22
2;1;685;16/06/2017 00:00;46069;71,4
2;1;685;16/06/2017 00:00;46070;47,76
2;1;685;16/06/2017 00:00;46071;92
2;1;685;16/06/2017 00:00;46072;33,8
2;1;685;16/06/2017 00:00;46073;8,5
2;1;685;16/06/2017 00:00;46074;19,5
2;1;685;16/06/2017 00:00;46075;85,14
2;1;685;16/06/2017 00:00;46076;120,72
2;1;685;16/06/2017 00:00;46077;56,89
2;1;685;16/06/2017 00:00;46078;30
2;1;685;16/06/2017 00:00;46079;256,8
2;1;685;16/06/2017 00:00;46080;163,5
2;1;685;16/06/2017 00:00;46081;105
2;1;685;16/06/2017 00:00;46136;62,3
2;1;685;16/06/2017 00:00;46137;66,7
2;1;685;16/06/2017 00:00;46142;124,4
2;1;685;16/06/2017 00:00;46144;54
2;1;685;16/06/2017 00:00;46146;40
2;1;685;16/06/2017 00:00;46147;278
2;1;685;16/06/2017 00:00;46149;22
2;1;685;16/06/2017 00:00;46150;420
2;1;685;16/06/2017 00:00;46151;351
2;1;685;16/06/2017 00:00;46152;46,5
2;1;685;16/06/2017 00:00;46153;232,68
2;1;685;16/06/2017 00:00;46154;362,76
2;1;685;16/06/2017 00:00;46156;105
2;1;685;16/06/2017 00:00;46157;67
2;1;685;16/06/2017 00:00;46159;272,14
2;1;685;16/06/2017 00:00;46161;27
2;1;685;16/06/2017 00:00;46169;228
2;1;685;16/06/2017 00:00;46173;456
2;1;685;16/06/2017 00:00;46175;54
2;1;685;16/06/2017 00:00;46191;29
2;1;685;16/06/2017 00:00;46197;29
2;1;685;16/06/2017 00:00;46198;461,6
2;1;685;16/06/2017 00:00;46206;93,6
2;1;685;16/06/2017 00:00;46207;346
2;1;685;16/06/2017 00:00;46208;325,6
2;1;685;16/06/2017 00:00;46209;35,8
2;1;685;16/06/2017 00:00;46210;139,14
2;1;685;16/06/2017 00:00;46211;210
2;1;685;16/06/2017 00:00;46212;90
2;1;685;16/06/2017 00:00;46213;116,61
2;1;685;16/06/2017 00:00;46214;259,65
2;1;685;16/06/2017 00:00;46215;43,2
2;1;685;16/06/2017 00:00;46216;228
2;1;685;16/06/2017 00:00;46217;27
2;1;685;16/06/2017 00:00;46218;105
2;1;685;16/06/2017 00:00;46219;158,7
2;1;685;16/06/2017 00:00;46220;149,51
2;1;685;16/06/2017 00:00;46221;104,87
2;1;685;16/06/2017 00:00;46222;412,58
2;1;685;16/06/2017 00:00;46223;62,3
2;1;685;16/06/2017 00:00;46224;44
2;1;685;16/06/2017 00:00;46225;276,66
2;1;685;16/06/2017 00:00;46226;24
2;1;685;16/06/2017 00:00;46227;50
2;1;685;16/06/2017 00:00;46228;21
2;1;685;16/06/2017 00:00;46229;22
2;1;685;16/06/2017 00:00;46230;54
2;1;685;17/06/2017 00:00;46056;2280
2;1;685;17/06/2017 00:00;46063;457,51
2;1;685;17/06/2017 00:00;46304;135,5
2;1;685;17/06/2017 00:00;46305;66,55
2;1;685;17/06/2017 00:00;46327;92,8
2;1;685;17/06/2017 00:00;46329;22
2;1;685;17/06/2017 00:00;46332;116,61
2;1;685;17/06/2017 00:00;46333;154,8
2;1;685;17/06/2017 00:00;46334;181,3
2;1;685;17/06/2017 00:00;46335;125,5
2;1;685;17/06/2017 00:00;46336;77,22
2;1;685;17/06/2017 00:00;46337;20
2;1;685;17/06/2017 00:00;46339;54
2;1;685;17/06/2017 00:00;46340;240
2;1;685;17/06/2017 00:00;46341;105
2;1;685;17/06/2017 00:00;46345;218,16
2;1;685;17/06/2017 00:00;46346;50
2;1;685;17/06/2017 00:00;46347;49
2;1;685;17/06/2017 00:00;46349;22
2;1;685;17/06/2017 00:00;46350;161,15
2;1;685;17/06/2017 00:00;46361;354
2;1;685;17/06/2017 00:00;46366;114,58
2;1;685;17/06/2017 00:00;46370;25,9
2;1;685;17/06/2017 00:00;46375;143,74
2;1;685;17/06/2017 00:00;46380;31,15
2;1;685;17/06/2017 00:00;46383;104
2;1;685;17/06/2017 00:00;46384;257,74
2;1;685;17/06/2017 00:00;46386;33,5
2;1;685;17/06/2017 00:00;46388;55,8
2;1;685;17/06/2017 00:00;46389;41,4
2;1;685;17/06/2017 00:00;46390;20
2;1;685;17/06/2017 00:00;46391;117
2;1;685;17/06/2017 00:00;46392;50,95
2;1;685;17/06/2017 00:00;46393;94,1
2;1;685;17/06/2017 00:00;46394;265,99
2;1;685;17/06/2017 00:00;46395;101,65
2;1;685;17/06/2017 00:00;46396;50
2;1;685;17/06/2017 00:00;46397;44,15
2;1;685;17/06/2017 00:00;46398;152,76
2;1;685;17/06/2017 00:00;46407;288,83
2;1;685;17/06/2017 00:00;46408;31,15
2;1;685;17/06/2017 00:00;46409;81,6
2;1;685;17/06/2017 00:00;46414;19,8
2;1;685;17/06/2017 00:00;46415;248,8
2;1;685;17/06/2017 00:00;46416;54,65
2;1;685;17/06/2017 00:00;46417;401,45
2;1;685;17/06/2017 00:00;46418;71,48
2;1;685;17/06/2017 00:00;46419;41,4
2;1;685;17/06/2017 00:00;46423;51
2;1;685;17/06/2017 00:00;46425;136
2;1;685;17/06/2017 00:00;46427;68
2;1;685;17/06/2017 00:00;46428;57
2;1;685;17/06/2017 00:00;46431;39,6
2;1;685;17/06/2017 00:00;46433;293,4
2;1;685;17/06/2017 00:00;46435;43
2;1;685;17/06/2017 00:00;46437;348
2;1;685;17/06/2017 00:00;46439;237
2;1;685;17/06/2017 00:00;46442;34,2
