"seq_pre_venda";"dta_emissao";"hra_emissao";"cod_pessoa_cliente";"cod_pessoa_representante";"val_total_pre_venda";"ind_status"
33.530;09/01/2017 00:00;"15:54";1.018;19;1140;"FA"
33.532;09/01/2017 00:00;"16:08";876;18;233,4;"FA"
33.533;09/01/2017 00:00;"16:09";1.564;1.534;1545;"FA"
33.529;09/01/2017 00:00;"15:48";779;2.182;623,1;"FA"
45.756;14/06/2017 00:00;"16:26";3.301;3.231;724,08;"FA"
45.759;14/06/2017 00:00;"16:33";3.358;3.231;937;"FA"
45.763;14/06/2017 00:00;"16:44";1.229;2.182;228,01;"FA"
45.767;14/06/2017 00:00;"16:51";3.241;3.231;309,88;"FA"
33.544;09/01/2017 00:00;"17:01";1.000;19;1380;"FA"
33.546;09/01/2017 00:00;"17:01";1.000;19;1380;"CC"
33.541;09/01/2017 00:00;"16:47";120;1.534;539,88;"FA"
45.765;14/06/2017 00:00;"16:47";526;2.182;534,9;"FA"
33.545;09/01/2017 00:00;"17:01";1.933;1.534;211,85;"FA"
33.543;09/01/2017 00:00;"17:00";2.040;19;816,72;"FA"
45.764;14/06/2017 00:00;"16:47";67;18;331,65;"FA"
33.549;09/01/2017 00:00;"17:07";414;2.481;433,52;"FA"
33.548;09/01/2017 00:00;"17:06";1.916;1.534;226,8;"FA"
33.540;09/01/2017 00:00;"16:46";977;19;10201,99;"FA"
45.760;14/06/2017 00:00;"16:40";1.874;2.182;2464,68;"FA"
33.550;09/01/2017 00:00;"17:11";391;18;200,01;"FA"
33.554;09/01/2017 00:00;"17:17";2.608;1.568;386,3;"FA"
33.553;09/01/2017 00:00;"17:14";390;18;236,52;"FA"
33.567;09/01/2017 00:00;"17:48";1.736;1.559;437,76;"CC"
33.538;09/01/2017 00:00;"16:38";2.391;18;234,55;"FA"
33.555;09/01/2017 00:00;"17:17";652;18;624,24;"FA"
33.562;09/01/2017 00:00;"17:38";2.157;18;330,82;"FA"
33.556;09/01/2017 00:00;"17:19";2.823;18;372;"FA"
33.561;09/01/2017 00:00;"17:34";2.221;18;211,76;"FA"
33.552;09/01/2017 00:00;"17:14";94;1.534;1209,19;"FA"
33.557;09/01/2017 00:00;"17:21";1.587;1.559;908,4;"FA"
33.564;09/01/2017 00:00;"17:42";319;2.300;238,5;"FA"
33.566;09/01/2017 00:00;"17:45";2.507;2.481;364,74;"FA"
33.551;09/01/2017 00:00;"17:11";165;2.300;1562;"FA"
33.563;09/01/2017 00:00;"17:41";855;18;778,56;"FA"
45.770;14/06/2017 00:00;"17:03";3.101;22;67415,04;"FA"
45.758;14/06/2017 00:00;"16:29";297;2.182;3398,6;"FA"
45.766;14/06/2017 00:00;"16:52";1.023;1.559;717,6;"FA"
45.769;14/06/2017 00:00;"16:59";3.266;3.231;363,2;"CC"
45.771;14/06/2017 00:00;"17:06";1;685;162,49;"FA"
45.768;14/06/2017 00:00;"17:01";3.406;22;36142,2;"FA"
45.773;14/06/2017 00:00;"17:08";1;685;27;"FA"
45.774;14/06/2017 00:00;"17:10";2.215;2.300;262,86;"FA"
45.775;14/06/2017 00:00;"17:14";1;685;242,11;"FA"
45.776;14/06/2017 00:00;"17:11";3.408;3.231;169,73;"FA"
33.569;09/01/2017 00:00;"17:52";29;685;4967,56;"FA"
33.952;13/01/2017 00:00;"15:33";360;2.300;307,38;"FA"
33.936;13/01/2017 00:00;"14:44";197;2.182;1197,6;"FA"
33.941;13/01/2017 00:00;"14:57";94;1.534;1400,2;"FA"
33.914;13/01/2017 00:00;"13:27";821;19;861,69;"FA"
33.938;13/01/2017 00:00;"14:48";2.440;2.182;430,8;"FA"
33.911;13/01/2017 00:00;"13:05";2.170;18;1627,8;"FA"
33.931;13/01/2017 00:00;"14:25";590;19;1963,51;"FA"
33.954;13/01/2017 00:00;"15:40";777;93;610,62;"FA"
33.953;13/01/2017 00:00;"15:39";315;1.534;237,04;"FA"
33.957;13/01/2017 00:00;"15:50";651;18;693;"FA"
45.777;14/06/2017 00:00;"17:14";1.438;2.300;219,38;"FA"
45.781;14/06/2017 00:00;"17:21";3.076;3.231;154,28;"FA"
45.779;14/06/2017 00:00;"17:22";1;685;210;"FA"
33.761;12/01/2017 00:00;"08:37";1;13;300;"CC"
33.943;13/01/2017 00:00;"15:09";924;1.534;231,34;"FA"
33.825;12/01/2017 00:00;"17:01";1.563;18;4848,92;"FA"
33.560;09/01/2017 00:00;"17:32";297;2.182;2983,5;"FA"
33.944;13/01/2017 00:00;"15:11";969;1.568;73,3;"FA"
33.841;12/01/2017 00:00;"17:53";325;1.534;2700;"FA"
33.940;13/01/2017 00:00;"14:51";923;1.534;777,4;"FA"
33.946;13/01/2017 00:00;"15:20";59;18;612,78;"FA"
33.948;13/01/2017 00:00;"15:24";914;18;237,36;"FA"
45.772;14/06/2017 00:00;"17:04";1.302;2.182;2221,8;"FA"
45.778;14/06/2017 00:00;"17:18";866;2.300;1080,03;"FA"
45.761;14/06/2017 00:00;"16:40";3.353;3.231;292,32;"FA"
45.783;14/06/2017 00:00;"17:25";3.409;2.481;1242,9;"FA"
45.782;14/06/2017 00:00;"17:22";1.727;19;5677,04;"FA"
45.780;14/06/2017 00:00;"17:21";714;2.481;2967,97;"FA"
45.786;14/06/2017 00:00;"17:42";1;685;742,58;"FA"
45.784;14/06/2017 00:00;"17:34";490;2.481;7336,99;"FA"
45.788;14/06/2017 00:00;"17:52";1.632;2.300;420;"FA"
45.787;14/06/2017 00:00;"17:50";1.029;2.300;2187,04;"FA"
45.785;14/06/2017 00:00;"17:37";724;2.182;2101,66;"FA"
45.790;14/06/2017 00:00;"18:01";1;685;19,8;"FA"
45.791;14/06/2017 00:00;"18:05";1;685;29;"FA"
45.792;14/06/2017 00:00;"18:16";1;685;423,6;"FA"
45.793;14/06/2017 00:00;"18:20";1;685;73;"FA"
33.547;09/01/2017 00:00;"17:05";2.237;2.300;228;"FA"
45.794;14/06/2017 00:00;"18:52";1;685;330,5;"FA"
45.796;14/06/2017 00:00;"19:02";1;685;580;"FA"
45.797;14/06/2017 00:00;"19:14";1;685;288,52;"FA"
45.798;14/06/2017 00:00;"19:22";1;685;86,63;"FA"
33.537;09/01/2017 00:00;"16:22";2.123;18;391,71;"FA"
45.799;14/06/2017 00:00;"19:24";1;685;29;"FA"
45.800;14/06/2017 00:00;"19:26";1;685;10,5;"FA"
45.801;14/06/2017 00:00;"19:29";1;685;160,5;"FA"
33.536;09/01/2017 00:00;"16:21";367;1.534;223,73;"FA"
33.570;09/01/2017 00:00;"18:52";1.266;1.568;221,02;"FA"
33.535;09/01/2017 00:00;"16:15";658;19;433,09;"FA"
33.524;09/01/2017 00:00;"15:38";2.725;685;571,18;"FA"
33.568;09/01/2017 00:00;"17:49";2.231;19;518,91;"FA"
33.558;09/01/2017 00:00;"17:28";404;2.300;205,88;"FA"
33.559;09/01/2017 00:00;"17:30";1.139;2.300;311;"FA"
33.831;12/01/2017 00:00;"17:27";1.683;2.481;201,96;"FA"
33.830;12/01/2017 00:00;"17:25";989;2.481;236;"FA"
33.827;12/01/2017 00:00;"17:15";209;2.182;228;"FA"
45.802;14/06/2017 00:00;"19:57";1;685;37,5;"FA"
33.834;12/01/2017 00:00;"17:30";391;1.568;136;"FA"
33.968;13/01/2017 00:00;"16:04";995;19;934;"FA"
33.956;13/01/2017 00:00;"15:49";877;18;317,1;"FA"
33.838;12/01/2017 00:00;"17:40";806;1.568;1440;"FA"
33.826;12/01/2017 00:00;"17:05";170;2.300;2871,1;"FA"
33.571;12/01/2017 00:00;"20:47";1;13;105;"FA"
33.950;13/01/2017 00:00;"15:26";2.054;18;460,36;"FA"
33.969;13/01/2017 00:00;"16:13";417;1.568;101,44;"FA"
33.951;13/01/2017 00:00;"15:29";69;18;618,54;"FA"
33.958;13/01/2017 00:00;"15:50";1.071;19;4322,16;"FA"
33.945;13/01/2017 00:00;"15:19";297;2.182;716,49;"FA"
33.974;13/01/2017 00:00;"16:31";2.275;1.568;59,5;"FA"
33.971;13/01/2017 00:00;"16:21";2.620;2.481;825,84;"FA"
33.967;13/01/2017 00:00;"16:03";1.585;19;370,7;"CC"
45.809;16/06/2017 00:00;"08:48";1.904;3.049;84;"FA"
34.010;13/01/2017 00:00;"17:49";223;18;777,4;"FA"
33.947;13/01/2017 00:00;"15:22";713;1.568;1260;"FA"
33.949;13/01/2017 00:00;"15:26";1.852;19;6551,76;"FA"
33.839;12/01/2017 00:00;"17:43";1.859;2.481;189;"FA"
33.846;12/01/2017 00:00;"19:25";1.111;49;20510,32;"FA"
33.843;12/01/2017 00:00;"17:57";720;2.300;216,6;"FA"
33.955;13/01/2017 00:00;"15:48";2.833;2.182;2420,4;"FA"
33.844;12/01/2017 00:00;"18:54";1.591;685;130,8;"FA"
33.973;13/01/2017 00:00;"16:30";209;685;56;"FA"
33.978;13/01/2017 00:00;"16:45";2.834;685;32;"FA"
33.979;13/01/2017 00:00;"16:47";2.835;685;40;"FA"
33.995;13/01/2017 00:00;"17:30";2.726;1.568;165;"FA"
34.004;13/01/2017 00:00;"17:40";1.345;2.182;341,86;"FA"
45.789;14/06/2017 00:00;"17:59";3.142;22;83378,5;"FA"
45.803;14/06/2017 00:00;"20:14";1;22;138,6;"FA"
45.818;16/06/2017 00:00;"10:01";3.412;1.568;165;"FA"
45.813;16/06/2017 00:00;"09:29";33;22;59738,72;"FA"
45.804;16/06/2017 00:00;"08:15";39;22;102528;"FA"
45.805;16/06/2017 00:00;"08:37";1;22;90840;"FA"
33.965;13/01/2017 00:00;"15:59";892;18;272,44;"FA"
33.961;13/01/2017 00:00;"15:55";60;18;398,24;"FA"
33.964;13/01/2017 00:00;"15:58";2.376;19;11844;"FA"
33.842;12/01/2017 00:00;"17:54";165;2.300;7347,82;"FA"
33.577;11/01/2017 00:00;"22:12";1;13;316;"FA"
33.966;13/01/2017 00:00;"15:59";2.591;2.481;383,94;"FA"
33.962;13/01/2017 00:00;"15:55";1.071;19;1718,26;"FA"
33.963;13/01/2017 00:00;"15:56";1.317;18;1110;"FA"
33.960;13/01/2017 00:00;"15:53";2.817;18;339,6;"FA"
33.959;13/01/2017 00:00;"15:52";559;18;2668,8;"FA"
33.939;13/01/2017 00:00;"14:49";1.368;2.300;1859,7;"FA"
35.379;02/02/2017 00:00;"14:34";757;18;367,06;"FA"
45.806;16/06/2017 00:00;"08:40";1.748;22;93899,52;"FA"
33.581;10/01/2017 00:00;"08:49";355;18;254,4;"FA"
33.580;10/01/2017 00:00;"22:46";1;13;221;"CC"
33.584;10/01/2017 00:00;"09:16";993;2.182;545,49;"FA"
33.582;10/01/2017 00:00;"09:05";722;1.568;1367,4;"FA"
45.832;16/06/2017 00:00;"10:24";428;2.182;485,1;"FA"
45.807;16/06/2017 00:00;"08:43";137;3.049;458,3;"FA"
33.583;10/01/2017 00:00;"09:14";1.730;1.534;312,34;"FA"
33.586;10/01/2017 00:00;"09:21";331;1.534;221,83;"FA"
33.587;10/01/2017 00:00;"09:23";2.626;1.534;233,22;"FA"
33.590;10/01/2017 00:00;"09:32";1.914;2.300;218,78;"FA"
33.599;10/01/2017 00:00;"10:07";815;1.568;669,84;"FA"
33.585;10/01/2017 00:00;"09:21";196;2.182;1267,6;"FA"
45.817;16/06/2017 00:00;"09:54";110;3.049;2046,45;"FA"
45.808;16/06/2017 00:00;"08:47";1.734;3.049;155,48;"FA"
45.824;16/06/2017 00:00;"10:12";741;2.481;963,3;"FA"
45.815;16/06/2017 00:00;"09:49";1.673;3.049;1334,49;"FA"
45.821;16/06/2017 00:00;"10:05";2.943;2.182;289,9;"FA"
45.834;16/06/2017 00:00;"10:27";882;2.481;2871,3;"FA"
45.810;16/06/2017 00:00;"08:57";1.027;3.049;116,61;"FA"
45.827;16/06/2017 00:00;"10:20";442;1.568;199,76;"FA"
33.592;10/01/2017 00:00;"09:38";2.017;2.300;244,54;"FA"
33.593;10/01/2017 00:00;"09:41";948;2.182;285,6;"FA"
33.594;10/01/2017 00:00;"09:43";320;2.300;279,7;"FA"
33.588;10/01/2017 00:00;"09:24";724;2.182;974,6;"FA"
33.597;13/01/2017 00:00;"10:00";837;21;1455;"CC"
45.812;16/06/2017 00:00;"09:17";2.237;1.568;119,4;"FA"
45.823;16/06/2017 00:00;"10:14";3.294;1.568;1251,79;"FA"
45.826;16/06/2017 00:00;"10:16";183;2.182;1361,4;"FA"
45.814;16/06/2017 00:00;"09:32";904;1.568;176,16;"FA"
45.830;16/06/2017 00:00;"10:25";265;2.300;151,02;"FA"
45.837;16/06/2017 00:00;"10:34";3.056;2.300;169,6;"FA"
45.829;16/06/2017 00:00;"10:19";250;2.182;194,35;"FA"
45.828;16/06/2017 00:00;"10:18";948;2.182;210;"FA"
45.816;16/06/2017 00:00;"09:51";734;1.568;1080;"FA"
45.822;16/06/2017 00:00;"10:08";170;2.300;3072,68;"FA"
45.819;16/06/2017 00:00;"10:01";3.102;685;48;"FA"
45.820;16/06/2017 00:00;"10:03";1.853;1.568;210;"FA"
45.811;16/06/2017 00:00;"09:01";1.059;1.568;1016;"FA"
45.846;16/06/2017 00:00;"10:41";3.276;3.231;235;"FA"
45.831;16/06/2017 00:00;"10:24";2.179;2.481;1298,92;"FA"
45.849;16/06/2017 00:00;"10:49";3.413;685;41;"FA"
33.982;13/01/2017 00:00;"17:12";724;2.182;2814,83;"FA"
33.598;10/01/2017 00:00;"10:03";1.059;1.559;10658,52;"FA"
33.845;12/01/2017 00:00;"19:20";343;685;1138,41;"FA"
33.976;13/01/2017 00:00;"16:32";1.302;2.182;2664,4;"FA"
33.990;13/01/2017 00:00;"17:27";1.131;2.481;456;"FA"
33.987;13/01/2017 00:00;"17:27";823;19;1497;"FA"
33.991;13/01/2017 00:00;"17:28";781;19;1100;"FA"
35.436;02/02/2017 00:00;"17:25";2.369;1.534;374,16;"FA"
33.847;12/01/2017 00:00;"19:29";742;685;295,9;"FA"
45.833;16/06/2017 00:00;"10:27";2.460;2.182;239,83;"FA"
33.607;10/01/2017 00:00;"11:03";1.404;2.300;340,2;"FA"
33.624;10/01/2017 00:00;"13:37";323;1.534;1117,08;"CC"
33.621;10/01/2017 00:00;"13:32";2.600;19;785,25;"FA"
33.606;10/01/2017 00:00;"11:03";301;2.182;3371,09;"FA"
33.608;10/01/2017 00:00;"11:04";2.697;2.481;865,4;"FA"
33.617;10/01/2017 00:00;"13:14";1.241;18;1288,8;"FA"
33.611;10/01/2017 00:00;"11:25";2.103;1.568;94,25;"FA"
33.600;10/01/2017 00:00;"10:21";1.549;1.568;277,67;"FA"
33.609;10/01/2017 00:00;"11:12";1.285;22;13041,6;"CC"
33.620;10/01/2017 00:00;"13:23";923;1.534;499,15;"FA"
45.841;16/06/2017 00:00;"10:37";75;2.481;202,88;"FA"
33.623;10/01/2017 00:00;"13:36";1.889;19;396,16;"FA"
33.614;10/01/2017 00:00;"12:18";1.313;93;284,88;"FA"
33.596;10/01/2017 00:00;"09:59";770;2.182;316,2;"CC"
33.602;10/01/2017 00:00;"10:28";478;2.182;4287;"FA"
33.605;10/01/2017 00:00;"10:50";444;2.300;210;"FA"
33.604;10/01/2017 00:00;"10:44";527;1.534;1084,95;"FA"
33.601;10/01/2017 00:00;"10:24";2.347;2.182;2504,7;"FA"
33.610;10/01/2017 00:00;"11:23";2.440;2.182;210;"FA"
45.845;16/06/2017 00:00;"10:41";887;2.300;177,8;"FA"
45.851;16/06/2017 00:00;"10:52";1.191;19;2340,01;"FA"
45.852;16/06/2017 00:00;"10:56";174;2.182;4079,77;"FA"
45.848;16/06/2017 00:00;"10:45";495;2.300;432,9;"FA"
45.850;16/06/2017 00:00;"10:53";737;2.300;810,9;"FA"
33.848;13/01/2017 00:00;"08:24";887;1.568;133,56;"FA"
45.847;16/06/2017 00:00;"10:41";590;19;2038,44;"FA"
45.836;16/06/2017 00:00;"10:35";1.154;1.568;150,92;"FA"
45.844;16/06/2017 00:00;"11:10";2.222;18;251,16;"FA"
33.603;10/01/2017 00:00;"10:39";226;18;3307,28;"FA"
33.613;10/01/2017 00:00;"11:37";957;18;1100,64;"FA"
33.851;13/01/2017 00:00;"08:47";1.038;18;388,7;"FA"
33.852;13/01/2017 00:00;"08:51";2.817;18;300;"FA"
33.849;13/01/2017 00:00;"08:31";72;18;910,02;"FA"
33.903;13/01/2017 00:00;"12:02";2.831;685;194,35;"FA"
45.855;16/06/2017 00:00;"11:03";1.272;1.568;306,64;"FA"
45.858;14/06/2017 00:00;"11:05";1;685;210,24;"FA"
45.839;16/06/2017 00:00;"10:36";449;2.481;714,31;"FA"
45.840;16/06/2017 00:00;"10:36";244;2.182;1828,44;"FA"
45.857;16/06/2017 00:00;"11:01";2.864;2.182;579,79;"FA"
33.615;10/01/2017 00:00;"12:34";2.000;93;365,66;"FA"
45.842;16/06/2017 00:00;"10:39";267;2.300;1530,03;"FA"
45.843;16/06/2017 00:00;"11:08";889;18;2267,28;"FA"
45.838;16/06/2017 00:00;"10:34";181;2.182;3432,42;"FA"
33.616;10/01/2017 00:00;"13:10";1.750;18;1549,14;"FA"
33.619;10/01/2017 00:00;"13:20";924;1.534;202,3;"FA"
45.859;16/06/2017 00:00;"11:37";842;18;552,78;"FA"
33.618;10/01/2017 00:00;"13:16";64;18;160,8;"FA"
33.853;13/01/2017 00:00;"08:55";1.134;1.568;128,88;"FA"
45.856;16/06/2017 00:00;"11:01";50;1.559;1524,96;"FA"
45.854;16/06/2017 00:00;"11:00";182;2.182;1072,95;"FA"
35.635;05/02/2017 00:00;"23:38";1;13;300;"CC"
45.853;16/06/2017 00:00;"11:28";2.730;18;3947,51;"FA"
45.864;16/06/2017 00:00;"11:18";255;2.300;247,18;"FA"
45.861;16/06/2017 00:00;"11:40";1.510;18;2970;"FA"
33.625;10/01/2017 00:00;"14:08";983;2.481;201,1;"FA"
33.627;10/01/2017 00:00;"14:17";950;19;935,28;"FA"
45.862;16/06/2017 00:00;"11:42";383;18;1080,03;"FA"
45.863;16/06/2017 00:00;"11:43";383;18;900;"FA"
45.865;16/06/2017 00:00;"11:18";2.435;2.481;1160;"FA"
45.866;16/06/2017 00:00;"11:18";2.030;2.182;189,6;"FA"
45.867;16/06/2017 00:00;"11:21";338;2.300;399,11;"FA"
45.868;16/06/2017 00:00;"11:52";764;18;2982,68;"FA"
33.626;10/01/2017 00:00;"14:16";263;2.300;486,4;"FA"
33.629;10/01/2017 00:00;"14:21";631;2.300;217,8;"FA"
33.630;10/01/2017 00:00;"14:22";2.624;2.481;930;"FA"
33.850;13/01/2017 00:00;"08:39";2.430;2.481;251,94;"FA"
45.869;16/06/2017 00:00;"11:23";1.260;2.481;1544,08;"FA"
45.871;16/06/2017 00:00;"11:31";447;2.300;303;"FA"
45.870;16/06/2017 00:00;"11:26";188;2.182;1828,44;"FA"
45.876;16/06/2017 00:00;"11:43";969;1.568;162,04;"FA"
45.875;16/06/2017 00:00;"11:40";1.570;2.481;354;"FA"
45.873;16/06/2017 00:00;"11:36";3.173;2.182;231,97;"CC"
45.878;16/06/2017 00:00;"11:46";160;2.300;207,4;"FA"
45.877;14/06/2017 00:00;"11:47";1;685;159,64;"FA"
45.882;16/06/2017 00:00;"11:59";3.294;1.568;33;"FA"
35.789;07/02/2017 00:00;"14:56";1.865;2.182;635,95;"CC"
33.628;10/01/2017 00:00;"14:20";2.637;2.481;212,01;"FA"
33.633;10/01/2017 00:00;"14:30";819;2.300;1077,22;"CC"
33.634;10/01/2017 00:00;"14:30";1.973;2.481;299,35;"FA"
33.643;10/01/2017 00:00;"15:01";59;18;598,8;"FA"
33.637;10/01/2017 00:00;"14:45";725;18;570,18;"FA"
33.645;10/01/2017 00:00;"15:28";1.378;1.568;252;"FA"
33.641;10/01/2017 00:00;"14:57";564;18;5072,1;"FA"
45.881;14/06/2017 00:00;"11:57";1;685;182,74;"FA"
45.880;16/06/2017 00:00;"11:53";1.884;2.300;1041,5;"FA"
33.977;13/01/2017 00:00;"16:40";1.157;1.568;217,16;"FA"
33.632;10/01/2017 00:00;"14:27";2.418;2.481;222,84;"FA"
33.644;10/01/2017 00:00;"15:02";1.490;93;230,53;"FA"
33.635;10/01/2017 00:00;"14:35";2.364;2.481;278;"FA"
33.654;10/01/2017 00:00;"16:27";1.692;93;253,78;"CC"
33.631;10/01/2017 00:00;"14:24";870;2.300;398,6;"CC"
33.668;10/01/2017 00:00;"17:02";2.280;19;1030;"FA"
35.783;07/02/2017 00:00;"14:28";1.373;18;369,24;"FA"
45.835;16/06/2017 00:00;"10:30";1.164;2.481;755,46;"FA"
45.874;16/06/2017 00:00;"11:38";1.932;1.559;379,49;"FA"
45.872;16/06/2017 00:00;"12:04";564;18;5540,43;"FA"
45.887;14/06/2017 00:00;"12:11";1;685;98,87;"FA"
45.885;16/06/2017 00:00;"12:07";170;2.300;575,22;"FA"
45.888;14/06/2017 00:00;"12:14";1;685;419,5;"FA"
45.879;16/06/2017 00:00;"11:51";3.096;2.481;4950;"FA"
45.883;16/06/2017 00:00;"12:04";1.842;18;1084,8;"FA"
45.884;16/06/2017 00:00;"12:07";1.323;1.568;1787,8;"FA"
45.889;14/06/2017 00:00;"12:17";1;685;433;"FA"
45.886;16/06/2017 00:00;"12:11";301;2.182;785,1;"FA"
45.890;14/06/2017 00:00;"12:20";1;685;119,4;"FA"
45.891;14/06/2017 00:00;"12:26";1;685;232;"FA"
45.892;14/06/2017 00:00;"12:51";1;685;264,38;"FA"
45.894;14/06/2017 00:00;"12:56";1;685;23,88;"FA"
45.896;16/06/2017 00:00;"12:59";2.278;2.481;292,1;"FA"
45.899;14/06/2017 00:00;"13:06";1;685;292,52;"FA"
33.642;10/01/2017 00:00;"14:59";889;18;269,12;"FA"
45.900;14/06/2017 00:00;"13:10";1;685;177,3;"FA"
45.901;14/06/2017 00:00;"13:15";1;685;54;"FA"
45.903;14/06/2017 00:00;"13:17";1;685;335,1;"FA"
34.017;14/01/2017 00:00;"08:19";1.089;1.568;195,04;"FA"
45.904;16/06/2017 00:00;"13:20";1.139;2.300;357,36;"FA"
33.840;13/01/2017 00:00;"17:45";444;2.300;1281,3;"FA"
33.639;10/01/2017 00:00;"14:53";69;18;2570,76;"FA"
33.646;10/01/2017 00:00;"15:52";2.589;2.300;210,6;"FA"
33.640;10/01/2017 00:00;"14:56";528;1.534;1131;"FA"
33.638;10/01/2017 00:00;"14:47";2.440;2.182;1780;"CC"
45.895;16/06/2017 00:00;"13:01";875;3.049;361,03;"FA"
33.649;10/01/2017 00:00;"16:08";2.430;2.481;227,76;"FA"
33.650;10/01/2017 00:00;"16:14";1.723;2.300;874,26;"FA"
45.825;16/06/2017 00:00;"10:18";205;2.481;1609,8;"FA"
45.905;16/06/2017 00:00;"13:51";3.106;18;320,9;"FA"
45.909;16/06/2017 00:00;"13:59";1.102;18;448,2;"FA"
45.907;16/06/2017 00:00;"13:55";1.284;18;230,8;"CC"
45.916;16/06/2017 00:00;"13:58";3.411;3.049;268,1;"FA"
45.902;16/06/2017 00:00;"13:15";939;3.049;864,4;"FA"
33.651;10/01/2017 00:00;"16:16";1.417;1.559;5757,56;"FA"
33.855;13/01/2017 00:00;"09:02";2.619;19;9397,2;"FA"
33.980;13/01/2017 00:00;"16:57";247;2.481;1077,62;"FA"
33.975;13/01/2017 00:00;"16:31";1.432;2.300;438,44;"FA"
33.989;13/01/2017 00:00;"17:27";2.836;685;40;"FA"
34.014;13/01/2017 00:00;"17:58";2.375;18;300,82;"FA"
34.011;13/01/2017 00:00;"17:52";819;2.300;2659,1;"FA"
33.981;13/01/2017 00:00;"17:03";533;1.568;398,7;"CC"
45.917;16/06/2017 00:00;"14:01";2.904;2.481;210,48;"FA"
45.906;16/06/2017 00:00;"13:53";2.081;18;322,48;"FA"
33.648;10/01/2017 00:00;"16:04";107;2.481;1616,4;"FA"
45.908;16/06/2017 00:00;"13:58";725;18;1157,69;"FA"
33.647;10/01/2017 00:00;"16:00";256;2.300;203,04;"FA"
45.912;16/06/2017 00:00;"14:04";2.239;18;2147,89;"FA"
45.898;16/06/2017 00:00;"13:02";1.087;19;1635,5;"FA"
45.911;16/06/2017 00:00;"13:33";822;19;2164,46;"FA"
45.913;16/06/2017 00:00;"13:42";152;2.300;1161,23;"FA"
33.983;13/01/2017 00:00;"17:16";166;2.300;237,6;"FA"
33.984;13/01/2017 00:00;"17:23";744;2.300;238,8;"FA"
33.655;10/01/2017 00:00;"16:31";1.160;19;3480;"FA"
33.856;13/01/2017 00:00;"09:03";565;18;750,36;"FA"
33.986;13/01/2017 00:00;"17:26";2.019;18;214;"FA"
33.992;13/01/2017 00:00;"17:28";2.221;18;140,88;"FA"
45.893;16/06/2017 00:00;"12:50";864;19;5082,89;"FA"
45.915;16/06/2017 00:00;"14:18";69;18;1095,52;"FA"
33.656;10/01/2017 00:00;"16:34";971;19;1200;"FA"
33.664;10/01/2017 00:00;"16:55";1.976;2.300;257,95;"FA"
33.661;10/01/2017 00:00;"16:41";995;19;586,5;"FA"
33.665;10/01/2017 00:00;"16:56";2.080;19;600;"CC"
33.660;10/01/2017 00:00;"16:39";2.137;2.481;394,28;"FA"
33.663;10/01/2017 00:00;"16:49";2.822;19;11178;"FA"
