"seq_pre_venda";"cod_item";"qtd_item";"cod_unidade_venda";"val_unitario";"val_desconto_embutido";"val_desconto";"val_total"
36.086;1;1;2;105;0;0;105
36.086;2;3;2;105;0;0;315
37.827;60;1;2;30,5;0;0;30,5
37.827;51;1;12;23,5;0;0;23,5
37.827;44;1;12;23,5;0;0;23,5
37.827;7;1;2;70;0;0;70
37.818;25;10;7;22,2;0;0;222
44.254;25;6;7;23,4;0;0;140,4
44.254;180;1;36;25,35;0;0;25,35
44.254;24;2;7;23,88;0;0;47,76
44.254;268;2;7;21;0;0;42
44.254;68;2;7;21,48;0;0;42,96
44.254;411;2;29;7,14;0;0;14,28
37.829;367;20;5;21;0;0;420
44.262;38;4;12;31,15;0;0;124,6
44.262;51;2;12;23,5;0;0;47
44.262;47;2;12;18;0;0;36
44.262;385;1;1;6,3;0;0;6,3
44.262;134;1;12;33;0;0;33
44.262;134;1;1;5,5;0;0;5,5
44.262;225;1;1;50;0;0;50
44.262;262;1;1;4,5;0;0;4,5
44.262;84;3;29;24;0;0;72
44.262;89;3;12;24;0;0;72
33.944;62;1;2;20;0;0;20
33.944;60;1;2;30,5;0;0;30,5
35.040;25;10;7;22,8;0;0;228
35.040;2;2;2;105;0;0;210
33.944;64;1;7;22,8;0;0;22,8
35.041;2;6;2;105;0;0;630
35.041;1;3;2;105;0;0;315
35.041;347;4;5;70,4;0;0;281,6
35.042;37;1;10;39,1;0;0;39,1
35.042;25;1;7;23,88;0;0;23,88
41.515;129;4;1;8,9;0;0;35,6
41.515;127;2;1;8,9;0;0;17,8
41.515;25;3;7;23,88;0;0;71,64
41.515;27;3;7;20,28;0;0;60,84
41.515;306;2;1;10,4;0;0;20,8
41.499;24;3;7;23,88;0;0;71,64
41.499;20;12;1;2,99;0;0;35,88
41.499;183;6;1;4,49;0;0;26,94
41.499;357;6;1;4,49;0;0;26,94
41.499;391;3;5;16,98;0;0;50,94
35.043;37;15;10;38,87;0;0;583,05
35.043;15;5;5;60;0;0;300
35.043;25;15;7;22,8;0;0;342
35.043;24;4;7;23,88;0;0;95,52
35.044;37;30;10;37,95;0;0;1138,5
35.044;2;10;2;102,9;0;0;1029
35.044;36;5;10;38,87;0;0;194,35
35.045;2;10;2;102,9;0;0;1029
35.045;36;5;10;38,87;0;0;194,35
41.516;378;12;1;16,9;0;0;202,8
41.516;24;100;7;22;0;0;2200
41.514;101;1;2;100,56;0;0;100,56
41.514;25;150;7;21,48;0;0;3222
37.833;2;150;2;106;0;0;15900
37.834;2;1;2;105;0;0;105
35.045;37;30;10;37,95;0;0;1138,5
37.834;25;2;7;23,88;0;0;47,76
37.834;38;2;12;31,14;0;0;62,28
37.833;42;40;12;30;0;0;1200
37.833;43;2;12;30;0;0;60
35.046;38;8;12;31,5;0;0;252
35.046;40;2;12;24,9;0;0;49,8
35.046;41;1;12;25,5;0;0;25,5
35.046;45;1;12;24,9;0;0;24,9
35.046;96;2;5;14,4;0;0;28,8
35.046;95;2;5;14,4;0;0;28,8
35.046;82;1;12;22,002;0;0;22
35.046;84;1;29;23,88;0;0;23,88
35.046;52;2;5;27,1;0;0;54,2
35.046;26;6;7;19,08;0;0;114,48
37.832;225;15;1;80;0;0;1200
35.047;51;6;12;23,5;0;0;141
35.047;44;2;12;23,5;0;0;47
35.048;25;10;7;23,88;0;0;238,8
37.836;177;10;36;23,85;0;0;238,5
37.836;25;10;7;22,8;0;0;228
39.744;27;20;7;18,96;0;0;379,2
37.836;27;10;7;19,2;0;0;192
35.049;188;1;5;89;0;0;89
35.049;24;2;7;23,88;0;0;47,76
35.049;25;10;7;22,8;0;0;228
33.606;38;50;12;29,7;0;0;1485
33.606;210;2;2;69,9;0;0;139,8
33.606;147;2;2;69,9;0;0;139,8
33.606;146;2;2;69,9;0;0;139,8
33.606;145;2;2;69,9;0;0;139,8
33.606;181;20;12;33;0;0;660
33.606;99;2;12;36,6;0;0;73,2
33.606;100;2;12;62,94;0;0;125,88
33.606;101;2;2;93,36;0;0;186,72
33.606;40;3;12;24,9;0;0;74,7
44.276;25;10;7;23,4;0;0;234
41.517;37;6;10;38,87;0;0;233,22
41.517;52;1;5;26,5;0;0;26,5
41.517;181;2;12;33;0;0;66
44.276;38;10;12;30,54;0;0;305,4
44.277;25;10;7;23,4;0;0;234
39.280;37;12;10;38,87;0;0;466,44
39.277;38;10;12;31,14;0;0;311,4
39.744;25;5;7;23,4;0;0;117
35.050;36;10;10;38,87;0;0;388,7
35.050;105;6;1;8,9;0;0;53,4
35.050;306;6;1;10,4;0;0;62,4
35.050;129;6;1;7,79;0;0;46,74
35.050;52;5;5;26,5;0;0;132,5
35.051;22;12;35;71,76;0;0;861,12
37.837;2;1;2;105;0;0;105
37.837;25;1;7;23,88;0;0;23,88
37.837;1;1;2;105;0;0;105
35.056;177;10;36;23,85;0;0;238,5
35.056;37;5;10;38,87;0;0;194,35
35.056;25;10;7;22,8;0;0;228
37.837;24;1;7;23,88;0;0;23,88
37.837;36;2;10;39,1;0;0;78,2
37.837;38;1;12;31,14;0;0;31,14
37.837;104;6;1;5,8;0;0;34,8
41.513;70;1;7;23,52;0;0;23,52
35.053;25;150;7;21,5;0;0;3225
41.513;25;1;7;23,88;0;0;23,88
33.606;41;3;12;24,9;0;0;74,7
33.606;45;3;12;24,9;0;0;74,7
33.606;49;3;12;18,9966666666667;0;0;56,99
33.603;177;20;36;23,85;0;0;477
33.603;24;25;7;23,88;0;0;597
39.277;159;4;12;23,34;0;0;93,36
39.277;39;1;12;32,46;0;0;32,46
39.277;45;1;12;25,9;0;0;25,9
39.277;40;2;12;25,895;0;0;51,79
37.796;368;4;29;8,94;0;0;35,76
37.796;7;10;2;62,904;0;0;629,04
41.513;24;1;7;23,88;0;0;23,88
41.513;27;1;7;20,28;0;0;20,28
41.513;159;1;12;27,9;0;0;27,9
41.513;36;1;10;38,87;0;0;38,87
37.838;37;3;10;38,87;0;0;116,61
35.052;37;20;10;38,41;0;0;768,2
35.052;24;10;7;23,88;0;0;238,8
35.052;27;30;7;18,96;0;0;568,8
37.838;38;1;12;31,15;0;0;31,15
41.513;37;1;10;38,87;0;0;38,87
41.520;37;10;10;38,87;0;0;388,7
41.520;36;10;10;38,87;0;0;388,7
33.603;99;1;12;36,6;0;0;36,6
33.603;101;12;1;3,89;0;0;46,68
36.091;37;8;10;38,87;0;0;310,96
35.052;38;3;12;31,14;0;0;93,42
35.052;40;1;12;24,9;0;0;24,9
35.052;25;30;7;21,9;0;0;657
39.277;64;1;7;22,68;0;0;22,68
39.277;79;1;7;16,68;0;0;16,68
39.277;65;1;7;22,68;0;0;22,68
36.091;36;8;10;38,87;0;0;310,96
36.091;180;10;36;25,5;0;0;255
36.091;99;1;12;37,74;0;0;37,74
36.091;177;15;36;24;0;0;360
35.054;37;8;10;38,87;0;0;310,96
35.054;25;3;7;23,88;0;0;71,64
35.054;24;3;7;23,88;0;0;71,64
39.277;146;12;1;3,15;0;0;37,8
41.521;54;1;7;39;0;0;39
41.521;52;1;5;27,1;0;0;27,1
41.521;38;2;12;31,15;0;0;62,3
41.521;62;1;2;22;0;0;22
36.092;2;3;2;105;0;0;315
36.092;1;1;2;105;0;0;105
35.056;15;1;5;60;0;0;60
35.056;27;13;7;18,96;0;0;246,48
41.518;102;2;35;138;0;0;276
35.058;27;10;7;19,8;0;0;198
41.518;212;4;1;15;0;0;60
41.518;129;6;1;8,15;0;0;48,9
41.518;99;2;12;37,74;0;0;75,48
41.518;290;8;1;3,99;0;0;31,92
35.057;37;15;10;38,87;0;0;583,05
35.057;25;10;7;22,8;0;0;228
35.057;36;2;10;38,87;0;0;77,74
33.603;25;100;7;21,5;0;0;2150
39.744;290;4;1;3,99;0;0;15,96
41.518;157;1;5;54,9;0;0;54,9
44.265;403;5;2;105;0;20;505
36.093;177;3;36;24,5;0;0;73,5
36.093;180;3;36;25,8;0;0;77,4
33.601;27;60;7;18,3;0;0;1098
33.601;7;4;2;67,925;0;0;271,7
33.601;15;1;5;60;0;0;60
33.601;25;50;7;21,5;0;0;1075
35.060;25;10;7;22,8;0;0;228
35.060;262;4;1;4,92;0;0;19,68
35.060;146;12;1;2,92;0;0;35,04
35.061;27;20;7;19,08;0;0;381,6
41.522;25;30;7;21,48;0;0;644,4
41.522;290;4;35;95,76;0;0;383,04
36.093;38;2;12;32;0;0;64
35.062;24;3;7;23,88;0;0;71,64
35.062;25;4;7;23,88;0;0;95,52
35.062;27;2;7;19,8;0;0;39,6
44.246;27;20;7;19,08;0;0;381,6
44.246;51;5;12;23,5;0;0;117,5
35.064;25;8;7;23,88;0;0;191,04
37.844;402;10;26;39,92;0;0;399,2
37.844;367;15;5;21;0;0;315
37.844;99;3;12;37,74;0;0;113,22
42.906;3;1;2;69,84;0;0;69,84
35.063;2;1;2;105;0;0;105
35.063;1;1;2;105;0;0;105
35.063;37;1;10;39,1;0;0;39,1
35.063;188;6;1;7,5;0;0;45
35.063;127;6;1;8,1;0;0;48,6
35.063;150;2;1;9,8;0;0;19,6
35.059;37;40;10;39,56;0;0;1582,4
35.059;36;15;10;39,56;0;0;593,4
35.066;27;30;7;18,96;0;0;568,8
42.906;418;1;2;105;0;0;105
42.906;416;3;7;23,4;0;0;70,2
42.906;188;3;1;7,416;0;0;22,25
41.523;323;2;35;71,76;0;0;143,52
41.523;18;3;35;64,56;0;0;193,68
41.523;307;3;35;71,76;0;0;215,28
41.523;282;1;2;139;0;0;139
35.067;25;15;7;23,88;0;0;358,2
33.947;2;10;2;105;0;0;1050
35.067;208;1;7;30;0;0;30
39.744;102;4;1;5,75;0;0;23
41.525;37;70;10;38,87;0;144,9;2576
35.065;385;2;7;73,08;0;0;146,16
35.065;52;1;5;26,5;0;0;26,5
35.065;60;1;2;29,76;0;0;29,76
35.069;51;3;12;23,5;0;0;70,5
44.264;45;1;12;25,896;0;0;25,9
44.264;40;2;12;25,896;0;0;51,79
42.629;15;40;5;58,99925;0;0;2359,97
41.515;190;1;5;22,8;0;0;22,8
41.524;68;10;7;21,48;0;0;214,8
35.068;2;1;2;105;0;0;105
35.068;1;1;2;105;0;0;105
35.068;7;1;2;68;0;0;68
35.068;37;2;10;38,87;0;0;77,74
33.947;1;2;2;105;0;0;210
42.906;150;3;1;9,8;0;0;29,4
37.847;2;2;2;105;0;0;210
33.610;2;2;2;105;0;0;210
36.088;52;6;5;26,5;0;0;159
36.088;181;4;12;33;0;0;132
36.088;62;2;2;17;0;0;34
37.847;1;1;2;105;0;0;105
33.613;2;10;2;102,9;0;0;1029
33.613;25;3;7;23,88;0;0;71,64
44.264;194;1;12;23,999;0;0;24
37.847;37;2;10;38,87;0;0;77,74
37.847;24;1;7;23,88;0;0;23,88
37.847;25;3;7;23,88;0;0;71,64
35.071;37;4;10;38,87;0;0;155,48
35.071;38;4;12;31,14;0;0;124,56
35.071;40;1;12;24,9;0;0;24,9
35.071;64;1;7;22,68;0;0;22,68
41.527;403;42;2;105;0;210;4200
41.526;25;70;7;23,88;0;117,68;1553,92
41.526;99;2;12;37,74;0;0;75,48
44.264;41;1;12;25,896;0;0;25,9
44.264;181;5;12;33;0;0;165
44.264;262;1;5;58,896;0;0;58,9
41.524;42;8;12;27,54;0;0;220,32
35.072;27;8;7;20;0;0;160
35.072;25;4;7;23,88;0;0;95,52
35.072;24;2;7;23,88;0;0;47,76
41.524;71;2;7;23,88;0;0;47,76
41.524;72;2;7;23,88;0;0;47,76
41.524;74;3;7;23,88;0;0;71,64
41.524;208;1;7;33;0;0;33
44.264;257;1;5;89,88;0;0;89,88
44.264;157;1;5;56,28;0;0;56,28
44.264;306;1;5;129;0;0;129
37.850;25;50;7;24,6;0;0;1230
44.264;333;1;5;142,68;0;0;142,68
44.264;186;5;7;23,88;0;0;119,4
42.629;416;50;7;23,4;0;80,03;1089,97
42.629;38;2;12;30,54;0;0;61,08
44.264;104;1;5;69,48;0;0;69,48
44.264;24;20;7;22,68;0;0;453,6
41.528;25;5;7;23,88;0;0;119,4
41.528;37;5;10;38,87;0;0;194,35
41.528;36;5;10;37,95;0;0;189,75
41.528;61;1;2;29,88;0;0;29,88
37.849;2;2;2;105;0;0;210
37.849;37;1;10;38,87;0;0;38,87
37.849;1;1;2;105;0;0;105
37.849;38;1;12;31,14;0;0;31,14
37.849;62;1;2;17;0;0;17
37.849;64;1;7;22,68;0;0;22,68
37.849;84;1;29;23,88;0;0;23,88
37.849;82;1;12;23,88;0;0;23,88
37.849;90;1;12;12,9;0;0;12,9
37.849;91;1;12;12,9;0;0;12,9
35.074;37;4;10;38,87;0;0;155,48
35.074;36;2;10;38,87;0;0;77,74
36.088;60;2;2;29,88;0;0;59,76
36.088;40;2;12;24,9;0;0;49,8
36.088;45;1;12;24,9;0;0;24,9
36.088;180;5;36;25,5;0;0;127,5
42.906;190;1;5;22,8;0;0;22,8
42.915;416;5;7;23,4;0;0;117
42.915;27;6;7;19,08;0;0;114,48
35.073;64;2;7;22,8;0;0;45,6
35.073;76;1;12;11,9994;0;0;12
35.073;84;1;29;23,88;0;0;23,88
35.073;92;1;12;13,1;0;0;13,1
35.073;25;1;7;23,88;0;0;23,88
35.073;24;1;7;23,88;0;0;23,88
35.073;27;1;7;20,28;0;0;20,28
35.073;36;2;10;38,87;0;0;77,74
35.073;37;2;10;38,87;0;0;77,74
35.073;159;2;12;27,5;0;0;55
35.070;37;140;10;37,49;0;0;5248,6
35.070;36;40;10;38,87;0;0;1554,8
42.629;194;5;12;24;0;0;120
42.629;89;5;12;23,88;0;0;119,4
41.533;24;10;7;23,88;0;0;238,8
41.533;25;10;7;23,88;0;0;238,8
35.075;25;2;7;22,8;0;0;45,6
35.075;24;1;7;23,88;0;0;23,88
35.075;27;6;7;18,96;0;0;113,76
35.075;390;6;1;2,49;0;0;14,94
36.088;177;5;36;24;0;0;120
36.094;2;2;2;105;0;0;210
35.076;7;2;2;67,925;0;0;135,85
35.076;1;1;2;105;0;0;105
35.076;62;1;2;17;0;0;17
35.077;27;15;7;18,96;0;0;284,4
35.077;25;10;7;22,8;0;0;228
41.534;38;3;12;31,15;0;0;93,45
37.848;26;10;7;19,08;0;0;190,8
41.534;60;1;2;30,5;0;0;30,5
37.848;402;10;26;39,92;0;0;399,2
37.848;40;3;12;25,8966666666667;0;0;77,69
37.848;114;5;7;11;0;0;55
37.848;89;1;12;23,88;0;0;23,88
37.848;52;2;5;26,5;0;0;53
37.848;60;1;2;29,88;0;0;29,88
37.848;188;4;1;8;0;0;32
37.848;51;10;12;23,5;0;0;235
37.848;44;4;12;23,5;0;0;94
37.841;18;30;35;62,16;0;0;1864,8
41.534;51;3;12;23,5;0;0;70,5
41.529;38;20;12;30,54;0;0;610,8
41.529;157;1;5;54,9;0;0;54,9
42.629;84;5;29;23,88;0;0;119,4
42.629;22;3;35;81,36;0;0;244,08
42.629;262;1;5;58,9;0;0;58,9
41.530;25;100;7;23,88;0;196;2192
37.857;25;6;7;22,8;0;0;136,8
35.079;52;2;5;26,5;0;0;53
35.079;64;1;7;22,68;0;0;22,68
35.079;38;3;12;31,14;0;0;93,42
35.079;27;1;7;20,28;0;0;20,28
35.079;24;1;7;23,88;0;0;23,88
35.079;25;1;7;23,88;0;0;23,88
35.079;45;1;12;24,9;0;0;24,9
35.079;41;1;12;25,5;0;0;25,5
35.079;66;1;7;22,68;0;0;22,68
35.079;82;1;12;23,88;0;0;23,88
37.857;62;1;2;16,99;0;0;16,99
37.852;177;10;36;23,85;0;0;238,5
35.081;2;10;2;103;0;0;1030
35.081;7;10;2;68;0;0;680
37.852;99;1;12;37,74;0;0;37,74
37.852;100;1;12;62,95;0;0;62,95
37.859;37;5;10;38,87;0;0;194,35
37.859;36;4;10;38,87;0;0;155,48
37.863;211;70;1;0,01;0;0;0,7
37.863;324;8;1;1,8;0;0;14,4
37.863;215;40;1;3,5;0;0;140
41.480;40;880;12;23,1;0;0;20328
41.480;41;90;12;23,1;0;0;2079
41.480;45;400;12;23,1;0;0;9240
41.480;403;168;2;95;0;0;15960
35.082;188;2;1;7,5;0;0;15
33.615;38;4;12;31,14;0;0;124,56
35.082;150;2;1;9,8;0;0;19,6
35.082;127;2;1;8,1;0;0;16,2
35.082;2;1;2;105;0;0;105
35.082;52;1;5;26,5;0;0;26,5
41.480;309;1;32;1938;0;0;1938
42.629;64;5;7;22,68;0;0;113,4
42.629;76;5;12;12;0;0;60
42.629;94;1;12;12,9;0;0;12,9
33.615;40;2;12;24,9;0;0;49,8
33.615;45;1;12;24,9;0;0;24,9
33.615;52;2;5;27,1;0;0;54,2
33.615;25;1;7;23,88;0;0;23,88
33.615;24;1;7;23,88;0;0;23,88
33.615;27;1;7;20,28;0;0;20,28
33.615;68;1;7;21,48;0;0;21,48
41.481;412;440;5;20,28;0;0;8923,2
41.481;15;650;5;54,504;0;0;35427,6
41.481;1;42;2;94,992;0;0;3989,66
35.085;38;4;12;31,14;0;0;124,56
35.080;37;20;10;38,87;0;0;777,4
33.615;64;1;7;22,68;0;0;22,68
35.083;38;50;12;33;0;0;1650
35.083;42;30;12;30;0;0;900
35.087;36;105;10;36,8;0;0;3864
35.078;177;100;36;23,85;0;0;2385
35.078;37;220;10;37,26;0;0;8197,2
35.084;27;50;7;18,96;0;0;948
35.084;25;5;7;22,8;0;0;114
35.084;38;5;12;31,14;0;0;155,7
35.084;389;2;5;45,48;0;0;90,96
35.084;390;12;1;2,5;0;0;30
35.084;356;3;1;9;0;0;27
41.540;7;3;2;64,9;0;0;194,7
35.089;104;8;5;65,88;0;0;527,04
39.579;64;1;7;22,68;0;0;22,68
39.579;79;1;7;16,68;0;0;16,68
